fips,Poverty
06001,28.1471910112
06003,39.6
06005,27.9888888889
06007,44.8823529412
06009,30.34
06011,41.76
06013,24.7970873786
06015,50.3428571429
06017,25.7
06019,50.7570707071
06021,44.4833333333
06023,44.7766666667
06025,52.78
06027,27.4
06029,48.3707482993
06031,49.708
06033,51.8133333333
06035,33.6333333333
06037,40.8473570191
06039,49.1043478261
06041,19.4849056604
06043,31.8666666667
06045,43.86
06047,55.6918367347
06049,44.875
06051,31.4333333333
06053,39.52
06055,28.3725
06057,29.55
06059,28.24
06061,22.8869047619
06063,32.0857142857
06065,39.9572062084
06067,38.0679365079
06069,30.0909090909
06071,43.8392370572
06073,32.8759677419
06075,28.0634020619
06077,45.3338129496
06079,33.1673076923
06081,19.5006410256
06083,35.1139534884
06085,22.6652291105
06087,30.0153846154
06089,40.2479166667
06091,30.6
06093,49.6571428571
06095,31.3042553191
06097,28.6595959596
06099,46.5138297872
06101,42.8476190476
06103,44.9090909091
06105,45.58
06107,56.6474358974
06109,32.71
06111,28.3529069767
06113,39.2219512195
06115,50.1571428571
